temperature_degree_c,season,fishing_zone,fish_species_1,fish_species_2
11.0,Spring,Zone A,Herring,Flounder
21.8,Summer,Zone C,Haddock,Pollock
12.4,Spring,Zone A,Herring,Cod
7.8,Winter,Zone A,Smelt,Cod
12.9,Fall,Zone A,Halibut,Sea Bass
23.0,Summer,Zone C,Haddock,Mackerel
19.7,Summer,Zone B,Haddock,Mackerel
21.3,Summer,Zone C,Haddock,Mackerel
18.0,Fall,Zone B,Sea Bass,Atlantic Salmon
4.8,Winter,Zone A,Smelt,Redfish
13.7,Fall,Zone A,Atlantic Salmon,Halibut
14.6,Fall,Zone A,Sea Bass,Atlantic Salmon
13.2,Spring,Zone A,Cod,Flounder
16.8,Spring,Zone B,Cod,Herring
15.1,Fall,Zone B,Atlantic Salmon,Halibut
18.9,Fall,Zone B,Atlantic Salmon,Halibut
19.0,Fall,Zone B,Halibut,Sea Bass
12.5,Fall,Zone A,Atlantic Salmon,Sea Bass
24.7,Summer,Zone C,Pollock,Haddock
7.9,Winter,Zone A,Redfish,Smelt
15.6,Spring,Zone B,Cod,Flounder
13.8,Spring,Zone A,Herring,Flounder
13.4,Fall,Zone A,Atlantic Salmon,Halibut
19.6,Summer,Zone B,Haddock,Pollock
18.8,Fall,Zone B,Sea Bass,Atlantic Salmon
12.5,Spring,Zone A,Herring,Flounder
12.9,Fall,Zone A,Sea Bass,Atlantic Salmon
17.4,Fall,Zone B,Halibut,Sea Bass
17.1,Spring,Zone B,Herring,Flounder
17.8,Fall,Zone B,Atlantic Salmon,Sea Bass
17.3,Spring,Zone B,Herring,Flounder
16.4,Fall,Zone B,Atlantic Salmon,Halibut
12.3,Spring,Zone A,Flounder,Herring
21.4,Summer,Zone C,Mackerel,Pollock
15.1,Spring,Zone B,Cod,Flounder
14.5,Spring,Zone A,Flounder,Herring
12.0,Fall,Zone A,Atlantic Salmon,Sea Bass
18.1,Fall,Zone B,Atlantic Salmon,Halibut
8.2,Winter,Zone A,Smelt,Redfish
5.1,Winter,Zone A,Cod,Smelt
9.2,Winter,Zone A,Cod,Redfish
15.1,Spring,Zone B,Herring,Cod
10.4,Spring,Zone A,Cod,Herring
14.1,Fall,Zone A,Sea Bass,Halibut
18.5,Fall,Zone B,Sea Bass,Atlantic Salmon
23.8,Summer,Zone C,Pollock,Haddock
19.9,Summer,Zone B,Pollock,Haddock
15.4,Fall,Zone B,Halibut,Atlantic Salmon
19.2,Summer,Zone B,Pollock,Haddock
11.3,Spring,Zone A,Herring,Cod
8.5,Winter,Zone A,Redfish,Smelt
13.5,Spring,Zone A,Flounder,Cod
18.5,Fall,Zone B,Atlantic Salmon,Halibut
9.6,Winter,Zone A,Smelt,Cod
18.5,Summer,Zone B,Mackerel,Pollock
17.4,Spring,Zone B,Cod,Flounder
8.6,Winter,Zone A,Cod,Redfish
14.5,Fall,Zone A,Sea Bass,Atlantic Salmon
18.5,Summer,Zone B,Haddock,Pollock
14.4,Fall,Zone A,Atlantic Salmon,Halibut
9.3,Winter,Zone A,Cod,Redfish
10.8,Spring,Zone A,Cod,Flounder
19.3,Fall,Zone B,Halibut,Atlantic Salmon
14.0,Spring,Zone A,Herring,Cod
19.1,Summer,Zone B,Haddock,Mackerel
12.7,Fall,Zone A,Atlantic Salmon,Sea Bass
4.5,Winter,Zone A,Redfish,Cod
18.8,Fall,Zone B,Sea Bass,Halibut
17.6,Spring,Zone B,Flounder,Cod
24.6,Summer,Zone C,Pollock,Haddock
22.3,Summer,Zone C,Mackerel,Pollock
19.7,Summer,Zone B,Haddock,Mackerel
19.0,Summer,Zone B,Pollock,Mackerel
24.8,Summer,Zone C,Pollock,Haddock
14.9,Fall,Zone A,Halibut,Atlantic Salmon
13.3,Fall,Zone A,Sea Bass,Halibut
17.8,Fall,Zone B,Halibut,Sea Bass
9.9,Winter,Zone A,Redfish,Cod
6.5,Winter,Zone A,Cod,Smelt
17.2,Spring,Zone B,Cod,Flounder
5.9,Winter,Zone A,Smelt,Redfish
24.6,Summer,Zone C,Mackerel,Pollock
14.6,Spring,Zone A,Flounder,Cod
20.0,Summer,Zone B,Pollock,Haddock
6.7,Winter,Zone A,Cod,Redfish
4.5,Winter,Zone A,Redfish,Cod
25.0,Summer,Zone C,Pollock,Mackerel
9.5,Winter,Zone A,Cod,Smelt
18.1,Summer,Zone B,Mackerel,Pollock
15.7,Fall,Zone B,Halibut,Sea Bass
14.5,Spring,Zone A,Flounder,Herring
13.5,Fall,Zone A,Atlantic Salmon,Halibut
18.4,Summer,Zone B,Mackerel,Pollock
24.4,Summer,Zone C,Haddock,Pollock
11.9,Spring,Zone A,Herring,Cod
16.6,Spring,Zone B,Flounder,Cod
7.5,Winter,Zone A,Cod,Redfish
8.7,Winter,Zone A,Smelt,Cod
13.2,Fall,Zone A,Sea Bass,Halibut
14.2,Fall,Zone A,Sea Bass,Atlantic Salmon
6.3,Winter,Zone A,Redfish,Cod
14.1,Fall,Zone A,Sea Bass,Halibut
16.9,Spring,Zone B,Herring,Cod
6.1,Winter,Zone A,Cod,Redfish
7.3,Winter,Zone A,Smelt,Redfish
17.2,Fall,Zone B,Sea Bass,Atlantic Salmon
13.9,Spring,Zone A,Herring,Flounder
16.8,Spring,Zone B,Flounder,Cod
13.3,Spring,Zone A,Cod,Flounder
23.5,Summer,Zone C,Haddock,Mackerel
4.9,Winter,Zone A,Redfish,Cod
6.8,Winter,Zone A,Redfish,Smelt
18.3,Summer,Zone B,Mackerel,Pollock
16.1,Fall,Zone B,Sea Bass,Atlantic Salmon
16.3,Fall,Zone B,Atlantic Salmon,Sea Bass
4.1,Winter,Zone A,Smelt,Cod
8.0,Winter,Zone A,Cod,Smelt
10.9,Spring,Zone A,Cod,Herring
10.5,Spring,Zone A,Flounder,Cod
23.2,Summer,Zone C,Haddock,Pollock
15.4,Fall,Zone B,Halibut,Atlantic Salmon
15.9,Spring,Zone B,Herring,Cod
8.1,Winter,Zone A,Redfish,Smelt
9.4,Winter,Zone A,Smelt,Redfish
12.7,Spring,Zone A,Flounder,Herring
7.7,Winter,Zone A,Smelt,Redfish
12.2,Spring,Zone A,Flounder,Cod
19.8,Summer,Zone B,Mackerel,Haddock
19.2,Fall,Zone B,Sea Bass,Atlantic Salmon
6.4,Winter,Zone A,Cod,Redfish
17.9,Fall,Zone B,Atlantic Salmon,Halibut
22.6,Summer,Zone C,Haddock,Mackerel
15.6,Spring,Zone B,Herring,Cod
17.3,Fall,Zone B,Halibut,Sea Bass
19.1,Fall,Zone B,Halibut,Atlantic Salmon
5.6,Winter,Zone A,Cod,Redfish
18.6,Summer,Zone B,Pollock,Haddock
15.9,Fall,Zone B,Sea Bass,Halibut
18.5,Fall,Zone B,Atlantic Salmon,Halibut
23.9,Summer,Zone C,Pollock,Mackerel
24.2,Summer,Zone C,Haddock,Mackerel
13.1,Spring,Zone A,Cod,Herring
21.9,Summer,Zone C,Haddock,Pollock
9.2,Winter,Zone A,Cod,Smelt
6.2,Winter,Zone A,Redfish,Cod
11.1,Spring,Zone A,Flounder,Herring
14.4,Fall,Zone A,Atlantic Salmon,Halibut
10.8,Spring,Zone A,Cod,Herring
24.4,Summer,Zone C,Mackerel,Pollock
17.8,Fall,Zone B,Halibut,Sea Bass
18.1,Summer,Zone B,Pollock,Haddock
7.8,Winter,Zone A,Cod,Redfish
20.2,Summer,Zone C,Haddock,Mackerel
11.5,Spring,Zone A,Flounder,Cod
24.7,Summer,Zone C,Pollock,Mackerel
14.1,Fall,Zone A,Sea Bass,Halibut
13.1,Spring,Zone A,Cod,Flounder
4.7,Winter,Zone A,Smelt,Redfish
8.2,Winter,Zone A,Smelt,Redfish
22.9,Summer,Zone C,Pollock,Mackerel
16.0,Spring,Zone B,Flounder,Herring
6.9,Winter,Zone A,Cod,Smelt
14.9,Fall,Zone A,Sea Bass,Halibut
17.5,Fall,Zone B,Sea Bass,Atlantic Salmon
14.0,Fall,Zone A,Atlantic Salmon,Sea Bass
16.1,Spring,Zone B,Flounder,Herring
10.9,Spring,Zone A,Herring,Cod
9.9,Winter,Zone A,Cod,Redfish
15.6,Fall,Zone B,Atlantic Salmon,Halibut
20.7,Summer,Zone C,Haddock,Mackerel
14.5,Fall,Zone A,Sea Bass,Halibut
24.0,Summer,Zone C,Pollock,Haddock
7.9,Winter,Zone A,Smelt,Cod
12.0,Spring,Zone A,Flounder,Herring
13.9,Fall,Zone A,Sea Bass,Halibut
9.3,Winter,Zone A,Redfish,Smelt
16.9,Fall,Zone B,Atlantic Salmon,Sea Bass
9.1,Winter,Zone A,Cod,Smelt
24.8,Summer,Zone C,Pollock,Haddock
13.1,Fall,Zone A,Sea Bass,Halibut
15.1,Fall,Zone B,Halibut,Sea Bass
11.0,Spring,Zone A,Herring,Cod
19.3,Fall,Zone B,Halibut,Atlantic Salmon
12.8,Spring,Zone A,Herring,Cod
10.4,Spring,Zone A,Flounder,Cod
23.7,Summer,Zone C,Mackerel,Haddock
21.3,Summer,Zone C,Pollock,Mackerel
18.1,Summer,Zone B,Pollock,Mackerel
19.6,Summer,Zone B,Mackerel,Pollock
15.6,Fall,Zone B,Sea Bass,Halibut
17.5,Spring,Zone B,Cod,Herring
5.4,Winter,Zone A,Redfish,Cod
13.4,Fall,Zone A,Sea Bass,Atlantic Salmon
14.1,Spring,Zone A,Herring,Flounder
15.0,Fall,Zone B,Atlantic Salmon,Halibut
24.0,Summer,Zone C,Haddock,Mackerel
10.6,Spring,Zone A,Cod,Flounder
16.6,Fall,Zone B,Atlantic Salmon,Sea Bass
21.4,Summer,Zone C,Mackerel,Haddock
7.6,Winter,Zone A,Cod,Smelt
19.0,Fall,Zone B,Atlantic Salmon,Halibut
19.2,Fall,Zone B,Halibut,Atlantic Salmon
21.5,Summer,Zone C,Haddock,Mackerel
23.5,Summer,Zone C,Mackerel,Haddock
23.1,Summer,Zone C,Haddock,Pollock
17.7,Fall,Zone B,Sea Bass,Halibut
14.9,Spring,Zone A,Flounder,Herring
17.3,Fall,Zone B,Halibut,Sea Bass
12.8,Fall,Zone A,Atlantic Salmon,Sea Bass
12.6,Spring,Zone A,Flounder,Herring
24.7,Summer,Zone C,Haddock,Pollock
6.4,Winter,Zone A,Smelt,Cod
13.4,Spring,Zone A,Flounder,Herring
22.5,Summer,Zone C,Mackerel,Pollock
9.9,Winter,Zone A,Redfish,Smelt
7.1,Winter,Zone A,Redfish,Cod
12.1,Fall,Zone A,Halibut,Atlantic Salmon
13.2,Spring,Zone A,Flounder,Herring
15.0,Spring,Zone B,Herring,Cod
10.5,Spring,Zone A,Cod,Herring
18.1,Fall,Zone B,Atlantic Salmon,Sea Bass
19.8,Summer,Zone B,Haddock,Pollock
8.6,Winter,Zone A,Redfish,Cod
10.2,Spring,Zone A,Cod,Flounder
16.5,Fall,Zone B,Halibut,Atlantic Salmon
23.5,Summer,Zone C,Mackerel,Pollock
4.0,Winter,Zone A,Cod,Smelt
5.0,Winter,Zone A,Redfish,Smelt
8.7,Winter,Zone A,Redfish,Smelt
18.9,Summer,Zone B,Pollock,Haddock
16.7,Fall,Zone B,Atlantic Salmon,Halibut
20.4,Summer,Zone C,Haddock,Mackerel
14.1,Fall,Zone A,Atlantic Salmon,Sea Bass
13.6,Fall,Zone A,Sea Bass,Halibut
16.9,Spring,Zone B,Cod,Herring
14.8,Fall,Zone A,Halibut,Sea Bass
15.5,Fall,Zone B,Sea Bass,Halibut
9.2,Winter,Zone A,Cod,Redfish
24.6,Summer,Zone C,Mackerel,Pollock
6.2,Winter,Zone A,Smelt,Cod
16.0,Spring,Zone B,Herring,Cod
17.4,Fall,Zone B,Atlantic Salmon,Sea Bass
17.7,Fall,Zone B,Sea Bass,Halibut
24.8,Summer,Zone C,Pollock,Mackerel
17.8,Spring,Zone B,Herring,Cod
16.9,Fall,Zone B,Atlantic Salmon,Halibut
8.5,Winter,Zone A,Redfish,Smelt
6.7,Winter,Zone A,Redfish,Smelt
18.6,Summer,Zone B,Haddock,Mackerel
9.8,Winter,Zone A,Cod,Redfish
18.2,Summer,Zone B,Mackerel,Pollock
8.7,Winter,Zone A,Cod,Smelt
17.4,Spring,Zone B,Herring,Flounder
16.2,Spring,Zone B,Cod,Herring
13.7,Fall,Zone A,Sea Bass,Atlantic Salmon
15.3,Fall,Zone B,Sea Bass,Halibut
7.3,Winter,Zone A,Cod,Redfish
4.5,Winter,Zone A,Redfish,Smelt
17.6,Spring,Zone B,Herring,Flounder
4.1,Winter,Zone A,Cod,Smelt
14.3,Spring,Zone A,Herring,Cod
8.5,Winter,Zone A,Smelt,Redfish
22.7,Summer,Zone C,Mackerel,Haddock
18.5,Summer,Zone B,Pollock,Mackerel
22.8,Summer,Zone C,Mackerel,Pollock
20.5,Summer,Zone C,Haddock,Pollock
19.9,Summer,Zone B,Haddock,Pollock
11.4,Spring,Zone A,Herring,Flounder
13.6,Fall,Zone A,Sea Bass,Atlantic Salmon
13.1,Spring,Zone A,Flounder,Herring
13.8,Spring,Zone A,Herring,Flounder
8.7,Winter,Zone A,Redfish,Cod
15.5,Fall,Zone B,Halibut,Atlantic Salmon
15.8,Spring,Zone B,Cod,Flounder
8.4,Winter,Zone A,Redfish,Smelt
13.9,Spring,Zone A,Cod,Herring
22.8,Summer,Zone C,Mackerel,Pollock
14.3,Spring,Zone A,Cod,Herring
19.7,Fall,Zone B,Sea Bass,Halibut
9.0,Winter,Zone A,Cod,Redfish
11.3,Spring,Zone A,Cod,Flounder
19.7,Fall,Zone B,Sea Bass,Atlantic Salmon
7.0,Winter,Zone A,Smelt,Redfish
9.7,Winter,Zone A,Cod,Smelt
16.4,Spring,Zone B,Flounder,Herring
10.2,Spring,Zone A,Flounder,Cod
4.1,Winter,Zone A,Cod,Smelt
18.9,Summer,Zone B,Pollock,Haddock
19.5,Fall,Zone B,Halibut,Sea Bass
17.9,Fall,Zone B,Halibut,Atlantic Salmon
15.2,Fall,Zone B,Sea Bass,Halibut
24.4,Summer,Zone C,Pollock,Mackerel
13.2,Fall,Zone A,Atlantic Salmon,Sea Bass
18.7,Fall,Zone B,Sea Bass,Atlantic Salmon
16.6,Spring,Zone B,Cod,Flounder
17.6,Fall,Zone B,Halibut,Atlantic Salmon
18.3,Summer,Zone B,Haddock,Pollock
13.5,Fall,Zone A,Sea Bass,Halibut
12.0,Spring,Zone A,Flounder,Cod
24.9,Summer,Zone C,Mackerel,Haddock
13.2,Spring,Zone A,Flounder,Herring
16.8,Fall,Zone B,Halibut,Sea Bass
6.5,Winter,Zone A,Smelt,Redfish
15.9,Spring,Zone B,Cod,Herring
16.3,Spring,Zone B,Flounder,Herring
22.8,Summer,Zone C,Mackerel,Haddock
21.5,Summer,Zone C,Haddock,Pollock
21.1,Summer,Zone C,Haddock,Pollock
9.2,Winter,Zone A,Smelt,Redfish
21.0,Summer,Zone C,Mackerel,Pollock
15.6,Fall,Zone B,Halibut,Sea Bass
15.3,Fall,Zone B,Halibut,Sea Bass
16.0,Fall,Zone B,Sea Bass,Halibut
19.5,Fall,Zone B,Atlantic Salmon,Sea Bass
19.2,Fall,Zone B,Sea Bass,Atlantic Salmon
14.9,Fall,Zone A,Sea Bass,Halibut
5.9,Winter,Zone A,Redfish,Smelt
13.2,Spring,Zone A,Cod,Herring
6.6,Winter,Zone A,Smelt,Redfish
8.0,Winter,Zone A,Redfish,Cod
23.0,Summer,Zone C,Haddock,Mackerel
15.7,Spring,Zone B,Flounder,Cod
18.8,Fall,Zone B,Halibut,Atlantic Salmon
15.4,Fall,Zone B,Halibut,Atlantic Salmon
4.6,Winter,Zone A,Cod,Redfish
5.3,Winter,Zone A,Redfish,Smelt
23.4,Summer,Zone C,Haddock,Pollock
20.6,Summer,Zone C,Haddock,Mackerel
5.2,Winter,Zone A,Redfish,Smelt
24.1,Summer,Zone C,Haddock,Pollock
19.6,Summer,Zone B,Mackerel,Pollock
15.9,Spring,Zone B,Herring,Flounder
18.3,Fall,Zone B,Atlantic Salmon,Sea Bass
24.2,Summer,Zone C,Pollock,Haddock
9.2,Winter,Zone A,Redfish,Cod
16.6,Fall,Zone B,Halibut,Sea Bass
12.1,Fall,Zone A,Sea Bass,Halibut
7.5,Winter,Zone A,Cod,Smelt
5.3,Winter,Zone A,Cod,Redfish
9.1,Winter,Zone A,Redfish,Cod
16.9,Fall,Zone B,Halibut,Sea Bass
23.1,Summer,Zone C,Pollock,Mackerel
15.0,Fall,Zone B,Sea Bass,Atlantic Salmon
16.5,Spring,Zone B,Herring,Flounder
17.6,Fall,Zone B,Halibut,Sea Bass
4.2,Winter,Zone A,Smelt,Redfish
16.3,Spring,Zone B,Cod,Flounder
4.1,Winter,Zone A,Cod,Redfish
9.8,Winter,Zone A,Redfish,Cod
5.5,Winter,Zone A,Cod,Redfish
20.0,Summer,Zone B,Pollock,Mackerel
12.6,Fall,Zone A,Halibut,Sea Bass
13.3,Fall,Zone A,Halibut,Atlantic Salmon
16.6,Spring,Zone B,Cod,Herring
4.6,Winter,Zone A,Redfish,Smelt
20.5,Summer,Zone C,Haddock,Pollock
6.1,Winter,Zone A,Cod,Smelt
15.9,Fall,Zone B,Halibut,Atlantic Salmon
24.9,Summer,Zone C,Pollock,Mackerel
4.5,Winter,Zone A,Cod,Redfish
25.0,Summer,Zone C,Mackerel,Haddock
13.7,Spring,Zone A,Herring,Flounder
14.0,Fall,Zone A,Sea Bass,Atlantic Salmon
21.9,Summer,Zone C,Mackerel,Pollock
22.9,Summer,Zone C,Mackerel,Haddock
12.3,Spring,Zone A,Cod,Herring
16.8,Spring,Zone B,Cod,Herring
4.1,Winter,Zone A,Redfish,Cod
13.3,Fall,Zone A,Halibut,Sea Bass
21.2,Summer,Zone C,Pollock,Mackerel
18.6,Summer,Zone B,Pollock,Mackerel
14.9,Spring,Zone A,Flounder,Cod
8.8,Winter,Zone A,Smelt,Cod
24.1,Summer,Zone C,Pollock,Mackerel
19.1,Fall,Zone B,Atlantic Salmon,Halibut
14.3,Fall,Zone A,Atlantic Salmon,Halibut
9.4,Winter,Zone A,Smelt,Redfish
13.1,Fall,Zone A,Atlantic Salmon,Halibut
20.0,Summer,Zone B,Pollock,Mackerel
15.2,Spring,Zone B,Cod,Flounder
24.4,Summer,Zone C,Mackerel,Haddock
12.3,Fall,Zone A,Sea Bass,Atlantic Salmon
4.5,Winter,Zone A,Redfish,Smelt
13.9,Fall,Zone A,Sea Bass,Halibut
18.7,Summer,Zone B,Pollock,Mackerel
16.0,Fall,Zone B,Atlantic Salmon,Halibut
14.5,Fall,Zone A,Atlantic Salmon,Halibut
21.4,Summer,Zone C,Pollock,Mackerel
18.0,Spring,Zone B,Cod,Herring
8.1,Winter,Zone A,Redfish,Cod
17.9,Spring,Zone B,Herring,Flounder
13.8,Fall,Zone A,Sea Bass,Atlantic Salmon
23.6,Summer,Zone C,Pollock,Mackerel
9.9,Winter,Zone A,Smelt,Redfish
8.5,Winter,Zone A,Redfish,Smelt
4.8,Winter,Zone A,Cod,Redfish
17.3,Fall,Zone B,Halibut,Sea Bass
8.6,Winter,Zone A,Smelt,Redfish
16.1,Spring,Zone B,Herring,Flounder
12.5,Fall,Zone A,Atlantic Salmon,Sea Bass
14.5,Fall,Zone A,Halibut,Atlantic Salmon
10.0,Winter,Zone A,Smelt,Cod
6.8,Winter,Zone A,Redfish,Cod
4.6,Winter,Zone A,Cod,Smelt
8.8,Winter,Zone A,Smelt,Cod
22.9,Summer,Zone C,Haddock,Pollock
13.9,Fall,Zone A,Sea Bass,Atlantic Salmon
12.3,Spring,Zone A,Flounder,Cod
22.1,Summer,Zone C,Pollock,Haddock
23.5,Summer,Zone C,Pollock,Haddock
7.4,Winter,Zone A,Redfish,Cod
12.0,Fall,Zone A,Atlantic Salmon,Sea Bass
14.3,Spring,Zone A,Herring,Cod
8.2,Winter,Zone A,Smelt,Redfish
9.8,Winter,Zone A,Redfish,Smelt
17.0,Fall,Zone B,Sea Bass,Halibut
6.7,Winter,Zone A,Smelt,Redfish
8.4,Winter,Zone A,Redfish,Cod
6.7,Winter,Zone A,Smelt,Redfish
18.7,Fall,Zone B,Sea Bass,Atlantic Salmon
5.2,Winter,Zone A,Smelt,Redfish
11.8,Spring,Zone A,Herring,Cod
18.5,Summer,Zone B,Mackerel,Haddock
18.7,Fall,Zone B,Halibut,Atlantic Salmon
23.7,Summer,Zone C,Pollock,Haddock
4.7,Winter,Zone A,Smelt,Cod
7.2,Winter,Zone A,Cod,Redfish
21.4,Summer,Zone C,Pollock,Mackerel
12.9,Spring,Zone A,Cod,Herring
20.6,Summer,Zone C,Pollock,Haddock
18.4,Summer,Zone B,Mackerel,Haddock
15.1,Spring,Zone B,Flounder,Cod
11.5,Spring,Zone A,Flounder,Herring
16.7,Fall,Zone B,Atlantic Salmon,Halibut
19.2,Summer,Zone B,Mackerel,Pollock
18.5,Fall,Zone B,Halibut,Atlantic Salmon
9.8,Winter,Zone A,Cod,Redfish
21.6,Summer,Zone C,Mackerel,Haddock
5.4,Winter,Zone A,Redfish,Cod
4.1,Winter,Zone A,Redfish,Cod
20.0,Summer,Zone B,Mackerel,Haddock
14.8,Spring,Zone A,Cod,Herring
24.6,Summer,Zone C,Pollock,Haddock
24.5,Summer,Zone C,Haddock,Pollock
8.3,Winter,Zone A,Cod,Redfish
14.6,Spring,Zone A,Herring,Cod
12.4,Spring,Zone A,Flounder,Herring
10.1,Spring,Zone A,Cod,Herring
18.7,Summer,Zone B,Mackerel,Pollock
11.8,Spring,Zone A,Cod,Flounder
18.4,Summer,Zone B,Haddock,Mackerel
6.9,Winter,Zone A,Cod,Smelt
17.7,Spring,Zone B,Herring,Flounder
17.3,Spring,Zone B,Flounder,Cod
15.2,Fall,Zone B,Atlantic Salmon,Halibut
9.4,Winter,Zone A,Cod,Smelt
24.2,Summer,Zone C,Pollock,Haddock
20.2,Summer,Zone C,Mackerel,Pollock
8.2,Winter,Zone A,Redfish,Cod
22.5,Summer,Zone C,Mackerel,Pollock
13.2,Spring,Zone A,Herring,Flounder
10.7,Spring,Zone A,Flounder,Herring
14.8,Fall,Zone A,Halibut,Sea Bass
17.2,Spring,Zone B,Herring,Cod
17.5,Fall,Zone B,Atlantic Salmon,Halibut
16.4,Spring,Zone B,Herring,Flounder
17.7,Spring,Zone B,Cod,Herring
6.3,Winter,Zone A,Smelt,Cod
12.3,Fall,Zone A,Atlantic Salmon,Sea Bass
7.8,Winter,Zone A,Smelt,Redfish
12.0,Spring,Zone A,Flounder,Herring
6.2,Winter,Zone A,Cod,Redfish
18.3,Summer,Zone B,Haddock,Mackerel
16.4,Fall,Zone B,Atlantic Salmon,Halibut
14.9,Fall,Zone A,Atlantic Salmon,Halibut
22.4,Summer,Zone C,Haddock,Pollock
7.2,Winter,Zone A,Redfish,Cod
15.2,Fall,Zone B,Sea Bass,Halibut
4.2,Winter,Zone A,Cod,Redfish
19.5,Summer,Zone B,Pollock,Mackerel
20.3,Summer,Zone C,Mackerel,Haddock
16.9,Spring,Zone B,Flounder,Cod
18.8,Summer,Zone B,Haddock,Pollock
19.5,Fall,Zone B,Atlantic Salmon,Halibut
24.4,Summer,Zone C,Pollock,Mackerel
5.3,Winter,Zone A,Cod,Smelt
18.0,Fall,Zone B,Sea Bass,Halibut
5.5,Winter,Zone A,Smelt,Cod
19.0,Summer,Zone B,Mackerel,Pollock
21.6,Summer,Zone C,Haddock,Pollock
14.6,Spring,Zone A,Flounder,Cod
8.4,Winter,Zone A,Smelt,Cod
18.6,Fall,Zone B,Sea Bass,Halibut
15.4,Spring,Zone B,Cod,Herring
10.8,Spring,Zone A,Cod,Flounder
12.6,Spring,Zone A,Flounder,Cod
22.8,Summer,Zone C,Pollock,Haddock
8.0,Winter,Zone A,Cod,Smelt
22.8,Summer,Zone C,Haddock,Pollock
13.7,Fall,Zone A,Sea Bass,Atlantic Salmon
15.3,Fall,Zone B,Sea Bass,Atlantic Salmon
20.0,Summer,Zone B,Mackerel,Haddock
16.6,Fall,Zone B,Sea Bass,Atlantic Salmon
18.6,Fall,Zone B,Atlantic Salmon,Halibut
12.6,Fall,Zone A,Halibut,Atlantic Salmon
14.0,Spring,Zone A,Herring,Flounder
13.3,Fall,Zone A,Atlantic Salmon,Halibut
9.9,Winter,Zone A,Cod,Smelt
8.2,Winter,Zone A,Cod,Redfish
19.3,Fall,Zone B,Halibut,Sea Bass
20.6,Summer,Zone C,Haddock,Pollock
18.1,Fall,Zone B,Sea Bass,Halibut
13.6,Fall,Zone A,Sea Bass,Atlantic Salmon
19.3,Fall,Zone B,Sea Bass,Atlantic Salmon
8.3,Winter,Zone A,Redfish,Smelt
5.2,Winter,Zone A,Cod,Redfish
14.9,Spring,Zone A,Flounder,Herring
17.4,Spring,Zone B,Cod,Flounder
18.0,Summer,Zone B,Mackerel,Haddock
15.1,Spring,Zone B,Herring,Flounder
7.8,Winter,Zone A,Smelt,Cod
18.2,Summer,Zone B,Mackerel,Pollock
18.9,Fall,Zone B,Halibut,Sea Bass
9.5,Winter,Zone A,Cod,Redfish
12.3,Fall,Zone A,Halibut,Sea Bass
10.9,Spring,Zone A,Herring,Cod
17.2,Spring,Zone B,Cod,Flounder
13.6,Spring,Zone A,Cod,Flounder
17.8,Fall,Zone B,Atlantic Salmon,Sea Bass
22.6,Summer,Zone C,Mackerel,Pollock
11.0,Spring,Zone A,Flounder,Herring
23.6,Summer,Zone C,Pollock,Haddock
9.9,Winter,Zone A,Redfish,Smelt
13.5,Fall,Zone A,Halibut,Sea Bass
5.3,Winter,Zone A,Smelt,Redfish
4.6,Winter,Zone A,Smelt,Redfish
18.5,Fall,Zone B,Sea Bass,Halibut
4.9,Winter,Zone A,Smelt,Cod
14.6,Fall,Zone A,Halibut,Sea Bass
20.3,Summer,Zone C,Pollock,Haddock
7.6,Winter,Zone A,Cod,Redfish
24.9,Summer,Zone C,Mackerel,Pollock
14.1,Fall,Zone A,Halibut,Atlantic Salmon
20.3,Summer,Zone C,Pollock,Mackerel
14.6,Spring,Zone A,Cod,Herring
10.7,Spring,Zone A,Flounder,Cod
6.3,Winter,Zone A,Smelt,Redfish
17.1,Fall,Zone B,Sea Bass,Halibut
14.9,Spring,Zone A,Herring,Cod
10.5,Spring,Zone A,Cod,Flounder
4.1,Winter,Zone A,Redfish,Smelt
5.9,Winter,Zone A,Smelt,Cod
6.1,Winter,Zone A,Cod,Redfish
8.3,Winter,Zone A,Cod,Smelt
5.6,Winter,Zone A,Cod,Smelt
17.9,Fall,Zone B,Atlantic Salmon,Halibut
16.4,Fall,Zone B,Halibut,Sea Bass
9.9,Winter,Zone A,Cod,Redfish
8.9,Winter,Zone A,Smelt,Cod
18.5,Fall,Zone B,Sea Bass,Atlantic Salmon
9.0,Winter,Zone A,Cod,Smelt
13.9,Spring,Zone A,Flounder,Cod
10.8,Spring,Zone A,Flounder,Cod
5.8,Winter,Zone A,Smelt,Cod
17.8,Fall,Zone B,Atlantic Salmon,Halibut
24.3,Summer,Zone C,Mackerel,Pollock
13.4,Fall,Zone A,Sea Bass,Atlantic Salmon
8.2,Winter,Zone A,Cod,Redfish
12.3,Spring,Zone A,Cod,Flounder
15.0,Spring,Zone B,Cod,Flounder
10.7,Spring,Zone A,Flounder,Cod
24.4,Summer,Zone C,Pollock,Haddock
20.1,Summer,Zone C,Pollock,Mackerel
16.9,Fall,Zone B,Halibut,Sea Bass
11.2,Spring,Zone A,Cod,Flounder
15.4,Spring,Zone B,Herring,Flounder
16.1,Spring,Zone B,Flounder,Herring
8.1,Winter,Zone A,Cod,Smelt
9.2,Winter,Zone A,Cod,Smelt
8.3,Winter,Zone A,Cod,Smelt
11.2,Spring,Zone A,Flounder,Cod
20.5,Summer,Zone C,Mackerel,Haddock
4.5,Winter,Zone A,Redfish,Cod
16.0,Spring,Zone B,Cod,Herring
