temperature_degree_c,season,fishing_zone,fish_species_1,fish_species_2,salinity_psu
11.8,Spring,Zone A,Herring,Flounder,31.11
17.0,Fall,Zone B,Halibut,Atlantic Salmon,32.49
5.1,Winter,Zone A,Smelt,Cod,34.19
10.3,Spring,Zone A,Flounder,Herring,32.19
19.5,Summer,Zone B,Mackerel,Pollock,31.49
19.6,Fall,Zone B,Sea Bass,Halibut,31.78
16.0,Fall,Zone B,Atlantic Salmon,Halibut,32.92
6.0,Winter,Zone A,Redfish,Cod,32.96
16.2,Fall,Zone B,Sea Bass,Atlantic Salmon,32.33
20.1,Summer,Zone C,Mackerel,Pollock,32.52
5.8,Winter,Zone A,Smelt,Redfish,32.98
19.7,Summer,Zone B,Mackerel,Haddock,32.32
10.5,Spring,Zone A,Flounder,Cod,31.06
19.4,Summer,Zone B,Haddock,Pollock,31.98
17.7,Spring,Zone B,Herring,Flounder,31.52
18.0,Spring,Zone B,Flounder,Herring,30.55
20.5,Summer,Zone C,Pollock,Mackerel,32.45
19.9,Summer,Zone B,Haddock,Mackerel,32.25
17.9,Spring,Zone B,Cod,Herring,31.63
13.1,Fall,Zone A,Halibut,Sea Bass,32.71
8.6,Winter,Zone A,Redfish,Smelt,34.0
15.8,Spring,Zone B,Flounder,Cod,31.52
5.4,Winter,Zone A,Smelt,Cod,33.27
15.1,Spring,Zone B,Flounder,Herring,31.56
18.4,Summer,Zone B,Mackerel,Haddock,32.6
10.2,Spring,Zone A,Flounder,Herring,31.76
20.9,Summer,Zone C,Haddock,Pollock,32.23
6.5,Winter,Zone A,Redfish,Smelt,33.07
12.7,Fall,Zone A,Halibut,Sea Bass,32.28
11.1,Spring,Zone A,Herring,Cod,30.99
10.8,Spring,Zone A,Flounder,Herring,32.58
8.2,Winter,Zone A,Cod,Redfish,32.72
4.6,Winter,Zone A,Redfish,Smelt,33.17
12.6,Spring,Zone A,Herring,Flounder,31.26
13.9,Fall,Zone A,Atlantic Salmon,Halibut,33.0
8.6,Winter,Zone A,Redfish,Cod,33.17
14.9,Spring,Zone A,Flounder,Herring,32.13
23.4,Summer,Zone C,Mackerel,Haddock,31.74
6.3,Winter,Zone A,Cod,Redfish,33.57
23.1,Summer,Zone C,Haddock,Mackerel,31.68
19.9,Fall,Zone B,Halibut,Atlantic Salmon,33.33
12.2,Fall,Zone A,Sea Bass,Halibut,32.05
8.4,Winter,Zone A,Redfish,Smelt,33.48
13.7,Spring,Zone A,Cod,Herring,31.88
13.1,Fall,Zone A,Halibut,Atlantic Salmon,32.8
15.9,Spring,Zone B,Flounder,Herring,31.36
13.5,Spring,Zone A,Cod,Herring,31.51
15.8,Spring,Zone B,Flounder,Herring,31.48
4.3,Winter,Zone A,Redfish,Smelt,33.46
21.3,Summer,Zone C,Pollock,Haddock,32.67
4.2,Winter,Zone A,Redfish,Cod,34.65
19.6,Summer,Zone B,Haddock,Pollock,31.99
20.2,Summer,Zone C,Mackerel,Haddock,31.56
7.8,Winter,Zone A,Cod,Smelt,33.32
9.8,Winter,Zone A,Cod,Redfish,34.55
18.1,Fall,Zone B,Atlantic Salmon,Halibut,31.94
8.5,Winter,Zone A,Smelt,Redfish,34.14
6.0,Winter,Zone A,Redfish,Smelt,34.29
12.4,Fall,Zone A,Sea Bass,Atlantic Salmon,32.35
18.9,Fall,Zone B,Halibut,Sea Bass,32.59
12.2,Fall,Zone A,Halibut,Atlantic Salmon,33.45
14.5,Fall,Zone A,Halibut,Atlantic Salmon,32.34
17.0,Fall,Zone B,Sea Bass,Atlantic Salmon,32.3
16.6,Spring,Zone B,Flounder,Herring,31.13
15.0,Spring,Zone B,Flounder,Herring,30.99
4.8,Winter,Zone A,Smelt,Redfish,33.19
16.3,Spring,Zone B,Cod,Flounder,30.82
5.0,Winter,Zone A,Smelt,Redfish,33.52
5.0,Winter,Zone A,Cod,Smelt,33.12
17.9,Fall,Zone B,Atlantic Salmon,Halibut,32.47
7.1,Winter,Zone A,Cod,Smelt,32.62
18.3,Fall,Zone B,Sea Bass,Atlantic Salmon,32.5
23.1,Summer,Zone C,Pollock,Mackerel,32.51
4.8,Winter,Zone A,Cod,Redfish,32.51
23.8,Summer,Zone C,Pollock,Mackerel,32.25
15.7,Spring,Zone B,Cod,Flounder,32.08
18.3,Summer,Zone B,Mackerel,Haddock,31.73
22.9,Summer,Zone C,Pollock,Haddock,32.94
20.0,Summer,Zone B,Pollock,Mackerel,32.46
15.2,Spring,Zone B,Cod,Flounder,31.14
8.8,Winter,Zone A,Redfish,Cod,33.28
8.5,Winter,Zone A,Redfish,Cod,33.6
8.3,Winter,Zone A,Redfish,Smelt,33.37
19.8,Summer,Zone B,Pollock,Mackerel,32.53
22.0,Summer,Zone C,Mackerel,Pollock,31.69
6.2,Winter,Zone A,Smelt,Redfish,33.52
20.0,Summer,Zone B,Mackerel,Haddock,31.54
13.0,Spring,Zone A,Cod,Flounder,31.54
12.3,Fall,Zone A,Sea Bass,Halibut,32.18
8.3,Winter,Zone A,Smelt,Cod,32.97
18.9,Fall,Zone B,Atlantic Salmon,Halibut,32.92
20.8,Summer,Zone C,Haddock,Pollock,32.76
6.2,Winter,Zone A,Redfish,Cod,33.74
17.6,Spring,Zone B,Herring,Cod,30.82
11.5,Spring,Zone A,Herring,Flounder,31.52
17.0,Fall,Zone B,Sea Bass,Atlantic Salmon,33.01
11.1,Spring,Zone A,Cod,Herring,31.77
12.5,Fall,Zone A,Sea Bass,Atlantic Salmon,33.78
14.9,Fall,Zone A,Atlantic Salmon,Sea Bass,32.7
7.5,Winter,Zone A,Smelt,Cod,33.47
19.6,Fall,Zone B,Atlantic Salmon,Sea Bass,32.12
12.7,Fall,Zone A,Sea Bass,Atlantic Salmon,32.68
4.4,Winter,Zone A,Redfish,Smelt,33.45
17.5,Fall,Zone B,Halibut,Sea Bass,32.73
19.4,Fall,Zone B,Halibut,Atlantic Salmon,32.76
18.3,Summer,Zone B,Mackerel,Pollock,31.94
12.4,Spring,Zone A,Herring,Flounder,30.96
7.9,Winter,Zone A,Redfish,Smelt,32.44
12.2,Fall,Zone A,Atlantic Salmon,Halibut,32.89
11.5,Spring,Zone A,Cod,Flounder,31.12
15.4,Fall,Zone B,Sea Bass,Atlantic Salmon,31.4
16.3,Spring,Zone B,Herring,Cod,31.63
15.1,Fall,Zone B,Sea Bass,Halibut,33.74
14.4,Fall,Zone A,Sea Bass,Atlantic Salmon,32.53
20.5,Summer,Zone C,Mackerel,Haddock,32.64
7.2,Winter,Zone A,Smelt,Redfish,33.43
13.0,Fall,Zone A,Atlantic Salmon,Halibut,32.55
13.1,Spring,Zone A,Herring,Flounder,32.05
14.9,Fall,Zone A,Halibut,Sea Bass,32.36
24.3,Summer,Zone C,Haddock,Pollock,32.17
15.9,Fall,Zone B,Atlantic Salmon,Sea Bass,32.62
13.4,Fall,Zone A,Halibut,Atlantic Salmon,32.25
19.3,Summer,Zone B,Pollock,Haddock,32.78
4.7,Winter,Zone A,Smelt,Cod,33.43
16.4,Fall,Zone B,Atlantic Salmon,Sea Bass,32.05
17.0,Spring,Zone B,Herring,Cod,31.67
19.3,Fall,Zone B,Atlantic Salmon,Sea Bass,31.84
22.1,Summer,Zone C,Haddock,Pollock,32.16
15.5,Fall,Zone B,Sea Bass,Halibut,32.47
19.6,Fall,Zone B,Halibut,Atlantic Salmon,32.81
17.8,Spring,Zone B,Herring,Flounder,31.6
16.4,Spring,Zone B,Herring,Cod,31.42
21.7,Summer,Zone C,Haddock,Mackerel,32.57
17.7,Spring,Zone B,Cod,Flounder,32.06
9.6,Winter,Zone A,Cod,Redfish,33.55
14.6,Spring,Zone A,Cod,Flounder,31.53
17.9,Fall,Zone B,Atlantic Salmon,Halibut,31.7
19.7,Fall,Zone B,Sea Bass,Halibut,31.73
21.4,Summer,Zone C,Haddock,Mackerel,32.03
23.3,Summer,Zone C,Pollock,Haddock,31.78
24.9,Summer,Zone C,Haddock,Mackerel,31.91
22.2,Summer,Zone C,Haddock,Pollock,32.17
5.2,Winter,Zone A,Smelt,Redfish,33.75
21.8,Summer,Zone C,Mackerel,Haddock,32.12
17.2,Fall,Zone B,Atlantic Salmon,Sea Bass,32.63
12.8,Spring,Zone A,Flounder,Cod,31.64
4.9,Winter,Zone A,Cod,Redfish,32.52
6.4,Winter,Zone A,Cod,Smelt,32.96
18.6,Fall,Zone B,Sea Bass,Halibut,32.25
18.8,Summer,Zone B,Haddock,Pollock,31.71
14.3,Fall,Zone A,Halibut,Atlantic Salmon,32.83
12.1,Fall,Zone A,Sea Bass,Atlantic Salmon,33.41
17.4,Fall,Zone B,Halibut,Atlantic Salmon,32.99
22.6,Summer,Zone C,Mackerel,Haddock,32.01
16.9,Fall,Zone B,Halibut,Atlantic Salmon,33.15
6.3,Winter,Zone A,Redfish,Smelt,33.51
16.9,Fall,Zone B,Atlantic Salmon,Sea Bass,32.24
15.0,Spring,Zone B,Herring,Flounder,31.19
15.7,Fall,Zone B,Sea Bass,Halibut,32.31
24.4,Summer,Zone C,Haddock,Pollock,31.84
16.5,Fall,Zone B,Sea Bass,Halibut,32.51
19.5,Summer,Zone B,Pollock,Haddock,32.36
19.5,Fall,Zone B,Atlantic Salmon,Sea Bass,32.28
11.5,Spring,Zone A,Flounder,Herring,31.89
4.2,Winter,Zone A,Redfish,Smelt,34.14
21.3,Summer,Zone C,Pollock,Mackerel,32.66
11.1,Spring,Zone A,Cod,Herring,30.95
13.4,Fall,Zone A,Atlantic Salmon,Sea Bass,31.3
16.1,Fall,Zone B,Atlantic Salmon,Halibut,32.91
5.7,Winter,Zone A,Redfish,Smelt,32.78
22.8,Summer,Zone C,Mackerel,Pollock,32.0
8.9,Winter,Zone A,Cod,Smelt,32.72
21.0,Summer,Zone C,Mackerel,Pollock,31.3
5.8,Winter,Zone A,Redfish,Cod,33.73
14.5,Fall,Zone A,Sea Bass,Atlantic Salmon,32.9
5.7,Winter,Zone A,Cod,Smelt,33.18
13.5,Spring,Zone A,Cod,Flounder,30.28
14.1,Fall,Zone A,Halibut,Atlantic Salmon,32.27
4.0,Winter,Zone A,Redfish,Cod,33.75
18.9,Fall,Zone B,Sea Bass,Halibut,31.57
12.9,Spring,Zone A,Herring,Flounder,31.7
24.8,Summer,Zone C,Mackerel,Pollock,32.0
7.5,Winter,Zone A,Smelt,Redfish,33.66
21.9,Summer,Zone C,Haddock,Pollock,32.21
9.3,Winter,Zone A,Redfish,Smelt,32.8
10.5,Spring,Zone A,Cod,Flounder,32.32
7.0,Winter,Zone A,Redfish,Smelt,33.32
24.8,Summer,Zone C,Haddock,Pollock,32.0
4.7,Winter,Zone A,Cod,Smelt,33.05
9.7,Winter,Zone A,Smelt,Cod,33.04
17.1,Spring,Zone B,Flounder,Herring,30.95
16.7,Spring,Zone B,Herring,Flounder,31.33
17.9,Fall,Zone B,Halibut,Sea Bass,33.21
12.5,Spring,Zone A,Flounder,Cod,30.94
16.0,Spring,Zone B,Herring,Flounder,30.64
12.8,Spring,Zone A,Herring,Flounder,32.35
6.0,Winter,Zone A,Cod,Redfish,33.35
6.4,Winter,Zone A,Smelt,Cod,33.1
18.0,Summer,Zone B,Mackerel,Haddock,32.87
18.6,Summer,Zone B,Pollock,Haddock,32.02
8.0,Winter,Zone A,Cod,Smelt,34.26
7.8,Winter,Zone A,Smelt,Cod,33.7
16.7,Spring,Zone B,Cod,Flounder,31.17
4.1,Winter,Zone A,Smelt,Cod,34.62
24.3,Summer,Zone C,Pollock,Haddock,31.73
23.4,Summer,Zone C,Haddock,Pollock,32.45
16.9,Spring,Zone B,Herring,Cod,31.55
14.8,Fall,Zone A,Halibut,Atlantic Salmon,33.16
19.5,Fall,Zone B,Halibut,Atlantic Salmon,33.06
14.6,Fall,Zone A,Atlantic Salmon,Sea Bass,32.54
13.1,Fall,Zone A,Atlantic Salmon,Sea Bass,32.22
10.8,Spring,Zone A,Cod,Flounder,31.94
5.0,Winter,Zone A,Cod,Redfish,33.16
20.8,Summer,Zone C,Haddock,Pollock,33.22
6.0,Winter,Zone A,Cod,Smelt,33.52
19.9,Fall,Zone B,Halibut,Atlantic Salmon,32.07
15.9,Fall,Zone B,Sea Bass,Halibut,32.55
15.6,Fall,Zone B,Halibut,Atlantic Salmon,31.8
18.0,Spring,Zone B,Flounder,Herring,30.86
17.7,Fall,Zone B,Sea Bass,Halibut,32.97
24.5,Summer,Zone C,Mackerel,Pollock,31.7
23.3,Summer,Zone C,Mackerel,Haddock,31.56
4.9,Winter,Zone A,Smelt,Cod,33.77
22.4,Summer,Zone C,Haddock,Pollock,32.72
12.1,Fall,Zone A,Halibut,Sea Bass,33.0
5.8,Winter,Zone A,Cod,Smelt,33.96
17.7,Spring,Zone B,Cod,Herring,30.99
5.0,Winter,Zone A,Smelt,Redfish,32.79
9.4,Winter,Zone A,Smelt,Redfish,34.03
16.3,Spring,Zone B,Cod,Flounder,31.27
6.0,Winter,Zone A,Smelt,Cod,33.32
18.3,Summer,Zone B,Pollock,Mackerel,33.0
17.8,Spring,Zone B,Herring,Cod,31.64
10.8,Spring,Zone A,Flounder,Herring,31.94
6.3,Winter,Zone A,Redfish,Smelt,34.52
16.6,Spring,Zone B,Herring,Flounder,31.1
21.5,Summer,Zone C,Haddock,Mackerel,32.64
15.9,Spring,Zone B,Cod,Herring,31.48
16.2,Fall,Zone B,Halibut,Atlantic Salmon,32.57
15.2,Fall,Zone B,Sea Bass,Halibut,33.25
17.5,Spring,Zone B,Flounder,Cod,31.63
12.8,Spring,Zone A,Herring,Cod,31.88
4.7,Winter,Zone A,Smelt,Redfish,34.05
13.6,Spring,Zone A,Flounder,Herring,31.39
13.2,Fall,Zone A,Atlantic Salmon,Halibut,32.17
13.5,Spring,Zone A,Flounder,Cod,31.05
20.1,Summer,Zone C,Pollock,Haddock,31.26
4.7,Winter,Zone A,Cod,Redfish,34.54
13.6,Fall,Zone A,Atlantic Salmon,Sea Bass,32.02
9.3,Winter,Zone A,Redfish,Cod,33.17
13.0,Spring,Zone A,Flounder,Cod,31.46
17.1,Spring,Zone B,Cod,Herring,31.55
24.5,Summer,Zone C,Haddock,Pollock,32.43
7.7,Winter,Zone A,Smelt,Cod,33.8
14.6,Spring,Zone A,Cod,Flounder,31.23
12.3,Spring,Zone A,Cod,Herring,31.55
19.0,Fall,Zone B,Halibut,Atlantic Salmon,32.44
18.0,Fall,Zone B,Atlantic Salmon,Halibut,32.23
18.5,Fall,Zone B,Atlantic Salmon,Sea Bass,33.13
20.2,Summer,Zone C,Haddock,Mackerel,32.49
15.5,Spring,Zone B,Flounder,Cod,31.84
10.9,Spring,Zone A,Cod,Herring,32.04
12.3,Fall,Zone A,Halibut,Sea Bass,33.22
9.3,Winter,Zone A,Redfish,Smelt,33.38
13.3,Fall,Zone A,Atlantic Salmon,Halibut,31.94
23.0,Summer,Zone C,Haddock,Pollock,32.3
13.6,Spring,Zone A,Herring,Cod,31.24
18.0,Summer,Zone B,Pollock,Haddock,32.09
16.7,Fall,Zone B,Atlantic Salmon,Sea Bass,32.71
13.6,Fall,Zone A,Halibut,Sea Bass,33.19
10.5,Spring,Zone A,Cod,Flounder,31.74
10.8,Spring,Zone A,Herring,Cod,31.86
11.3,Spring,Zone A,Cod,Flounder,32.54
12.7,Spring,Zone A,Flounder,Herring,31.74
18.1,Fall,Zone B,Sea Bass,Halibut,33.65
22.6,Summer,Zone C,Haddock,Mackerel,32.4
18.5,Summer,Zone B,Mackerel,Haddock,31.44
6.9,Winter,Zone A,Smelt,Cod,33.78
10.1,Spring,Zone A,Herring,Flounder,31.94
7.2,Winter,Zone A,Cod,Smelt,34.03
5.1,Winter,Zone A,Cod,Smelt,33.83
19.6,Summer,Zone B,Haddock,Mackerel,32.2
24.9,Summer,Zone C,Haddock,Pollock,31.39
19.5,Fall,Zone B,Sea Bass,Atlantic Salmon,32.17
8.1,Winter,Zone A,Cod,Smelt,32.92
9.4,Winter,Zone A,Smelt,Redfish,32.99
14.6,Spring,Zone A,Cod,Herring,31.81
18.0,Fall,Zone B,Halibut,Atlantic Salmon,33.18
17.2,Fall,Zone B,Halibut,Sea Bass,32.59
9.6,Winter,Zone A,Smelt,Redfish,32.67
17.3,Fall,Zone B,Atlantic Salmon,Sea Bass,32.61
19.0,Fall,Zone B,Sea Bass,Halibut,32.9
18.6,Summer,Zone B,Haddock,Mackerel,32.02
16.1,Fall,Zone B,Sea Bass,Atlantic Salmon,32.38
17.2,Fall,Zone B,Halibut,Sea Bass,32.4
20.2,Summer,Zone C,Pollock,Mackerel,31.85
14.2,Fall,Zone A,Halibut,Sea Bass,32.86
9.9,Winter,Zone A,Smelt,Cod,33.19
13.9,Spring,Zone A,Cod,Herring,31.76
9.1,Winter,Zone A,Redfish,Cod,32.85
19.7,Summer,Zone B,Pollock,Mackerel,32.05
19.8,Fall,Zone B,Atlantic Salmon,Sea Bass,32.62
12.8,Spring,Zone A,Cod,Herring,31.42
12.6,Fall,Zone A,Atlantic Salmon,Sea Bass,33.48
13.0,Fall,Zone A,Sea Bass,Atlantic Salmon,32.4
7.9,Winter,Zone A,Smelt,Redfish,33.47
18.4,Fall,Zone B,Sea Bass,Atlantic Salmon,32.8
15.0,Fall,Zone B,Sea Bass,Atlantic Salmon,31.79
14.8,Fall,Zone A,Sea Bass,Halibut,31.63
19.7,Summer,Zone B,Haddock,Mackerel,31.5
11.9,Spring,Zone A,Flounder,Cod,32.29
22.6,Summer,Zone C,Haddock,Pollock,31.84
7.1,Winter,Zone A,Cod,Redfish,34.67
8.2,Winter,Zone A,Smelt,Cod,33.06
23.9,Summer,Zone C,Mackerel,Haddock,32.15
19.4,Fall,Zone B,Sea Bass,Halibut,33.05
17.3,Fall,Zone B,Sea Bass,Halibut,33.39
7.0,Winter,Zone A,Cod,Smelt,34.43
12.8,Spring,Zone A,Herring,Cod,32.21
18.6,Fall,Zone B,Atlantic Salmon,Halibut,32.83
14.1,Spring,Zone A,Cod,Herring,31.84
18.6,Summer,Zone B,Mackerel,Haddock,32.71
4.3,Winter,Zone A,Redfish,Cod,33.26
15.5,Fall,Zone B,Atlantic Salmon,Halibut,32.07
24.4,Summer,Zone C,Pollock,Haddock,32.03
5.9,Winter,Zone A,Redfish,Smelt,33.37
16.7,Fall,Zone B,Atlantic Salmon,Sea Bass,32.19
12.9,Fall,Zone A,Atlantic Salmon,Sea Bass,32.95
18.8,Fall,Zone B,Halibut,Atlantic Salmon,32.79
22.6,Summer,Zone C,Mackerel,Haddock,32.16
18.2,Summer,Zone B,Pollock,Mackerel,33.08
12.2,Spring,Zone A,Cod,Herring,31.07
17.3,Spring,Zone B,Cod,Herring,31.29
23.8,Summer,Zone C,Mackerel,Pollock,31.7
9.7,Winter,Zone A,Redfish,Cod,32.33
20.5,Summer,Zone C,Pollock,Haddock,32.18
17.4,Fall,Zone B,Atlantic Salmon,Halibut,32.32
16.3,Fall,Zone B,Atlantic Salmon,Sea Bass,33.19
17.8,Spring,Zone B,Cod,Herring,31.68
9.8,Winter,Zone A,Smelt,Redfish,32.75
17.7,Spring,Zone B,Cod,Flounder,32.29
17.7,Spring,Zone B,Cod,Flounder,31.98
14.6,Spring,Zone A,Flounder,Cod,31.81
19.2,Summer,Zone B,Mackerel,Haddock,32.18
20.8,Summer,Zone C,Haddock,Pollock,31.73
13.4,Spring,Zone A,Herring,Flounder,31.39
20.8,Summer,Zone C,Mackerel,Pollock,32.75
24.2,Summer,Zone C,Pollock,Haddock,32.98
12.3,Fall,Zone A,Atlantic Salmon,Halibut,33.41
18.2,Fall,Zone B,Atlantic Salmon,Sea Bass,32.1
19.0,Summer,Zone B,Haddock,Pollock,31.74
9.1,Winter,Zone A,Redfish,Smelt,33.37
6.6,Winter,Zone A,Cod,Redfish,32.54
23.6,Summer,Zone C,Haddock,Mackerel,32.23
17.4,Fall,Zone B,Halibut,Sea Bass,32.31
17.3,Spring,Zone B,Cod,Flounder,31.15
10.5,Spring,Zone A,Cod,Herring,30.93
15.3,Spring,Zone B,Cod,Herring,31.74
6.5,Winter,Zone A,Redfish,Smelt,33.16
18.7,Fall,Zone B,Sea Bass,Halibut,31.73
15.9,Fall,Zone B,Atlantic Salmon,Halibut,31.02
9.5,Winter,Zone A,Smelt,Cod,33.26
7.1,Winter,Zone A,Smelt,Cod,34.28
12.8,Spring,Zone A,Flounder,Herring,32.44
20.1,Summer,Zone C,Haddock,Mackerel,32.02
22.4,Summer,Zone C,Haddock,Mackerel,31.83
21.1,Summer,Zone C,Pollock,Mackerel,32.43
17.1,Spring,Zone B,Flounder,Herring,30.9
7.5,Winter,Zone A,Smelt,Redfish,33.53
15.1,Spring,Zone B,Herring,Cod,31.88
19.3,Summer,Zone B,Mackerel,Haddock,32.9
15.0,Fall,Zone B,Sea Bass,Atlantic Salmon,32.45
4.0,Winter,Zone A,Cod,Redfish,33.45
23.4,Summer,Zone C,Haddock,Pollock,31.64
4.5,Winter,Zone A,Redfish,Cod,33.11
15.7,Fall,Zone B,Atlantic Salmon,Sea Bass,32.35
22.9,Summer,Zone C,Pollock,Mackerel,32.29
12.2,Fall,Zone A,Halibut,Atlantic Salmon,33.1
14.6,Spring,Zone A,Flounder,Herring,31.12
24.1,Summer,Zone C,Haddock,Mackerel,32.79
4.6,Winter,Zone A,Smelt,Redfish,33.38
6.9,Winter,Zone A,Cod,Redfish,33.39
17.1,Spring,Zone B,Flounder,Herring,31.02
6.1,Winter,Zone A,Smelt,Redfish,32.23
13.7,Spring,Zone A,Herring,Flounder,32.01
16.8,Spring,Zone B,Cod,Herring,31.78
22.0,Summer,Zone C,Haddock,Mackerel,32.01
5.1,Winter,Zone A,Redfish,Smelt,33.53
19.2,Summer,Zone B,Haddock,Mackerel,32.55
7.6,Winter,Zone A,Cod,Redfish,32.59
10.0,Winter,Zone A,Smelt,Redfish,32.99
13.4,Spring,Zone A,Cod,Herring,31.98
19.1,Fall,Zone B,Sea Bass,Halibut,31.67
7.2,Winter,Zone A,Redfish,Cod,33.54
13.3,Fall,Zone A,Halibut,Sea Bass,31.91
20.6,Summer,Zone C,Mackerel,Haddock,32.45
4.8,Winter,Zone A,Cod,Redfish,33.49
16.7,Fall,Zone B,Sea Bass,Halibut,31.61
24.1,Summer,Zone C,Haddock,Mackerel,32.63
8.6,Winter,Zone A,Redfish,Smelt,32.95
24.0,Summer,Zone C,Mackerel,Haddock,31.64
9.2,Winter,Zone A,Cod,Smelt,33.39
6.7,Winter,Zone A,Smelt,Cod,33.99
12.5,Fall,Zone A,Atlantic Salmon,Halibut,32.12
7.7,Winter,Zone A,Smelt,Redfish,33.4
14.4,Spring,Zone A,Flounder,Cod,31.74
8.6,Winter,Zone A,Smelt,Cod,33.67
18.7,Summer,Zone B,Haddock,Mackerel,32.4
16.1,Fall,Zone B,Atlantic Salmon,Sea Bass,32.26
16.7,Spring,Zone B,Flounder,Herring,31.0
19.7,Fall,Zone B,Atlantic Salmon,Sea Bass,32.31
16.6,Fall,Zone B,Sea Bass,Halibut,31.88
11.9,Spring,Zone A,Cod,Herring,30.19
9.0,Winter,Zone A,Smelt,Cod,33.52
6.9,Winter,Zone A,Redfish,Smelt,33.86
7.3,Winter,Zone A,Redfish,Smelt,32.2
21.0,Summer,Zone C,Haddock,Mackerel,31.7
12.3,Spring,Zone A,Herring,Cod,31.94
15.4,Fall,Zone B,Sea Bass,Atlantic Salmon,33.51
14.6,Spring,Zone A,Cod,Flounder,31.53
6.0,Winter,Zone A,Redfish,Cod,33.09
5.8,Winter,Zone A,Redfish,Cod,33.37
9.0,Winter,Zone A,Redfish,Cod,33.99
15.7,Spring,Zone B,Flounder,Cod,31.14
13.4,Fall,Zone A,Halibut,Atlantic Salmon,32.18
15.6,Fall,Zone B,Atlantic Salmon,Sea Bass,32.23
21.3,Summer,Zone C,Haddock,Mackerel,31.71
9.6,Winter,Zone A,Cod,Smelt,33.33
16.4,Fall,Zone B,Atlantic Salmon,Halibut,33.24
10.5,Spring,Zone A,Flounder,Herring,31.89
22.2,Summer,Zone C,Haddock,Mackerel,32.01
22.7,Summer,Zone C,Haddock,Pollock,31.97
9.8,Winter,Zone A,Cod,Redfish,32.48
12.1,Spring,Zone A,Cod,Herring,32.09
11.2,Spring,Zone A,Herring,Flounder,31.65
18.8,Summer,Zone B,Pollock,Mackerel,32.22
16.0,Fall,Zone B,Sea Bass,Atlantic Salmon,34.05
22.4,Summer,Zone C,Pollock,Mackerel,32.28
20.6,Summer,Zone C,Haddock,Mackerel,31.84
19.0,Summer,Zone B,Haddock,Pollock,32.09
19.3,Summer,Zone B,Pollock,Haddock,32.86
13.9,Spring,Zone A,Cod,Flounder,31.61
23.2,Summer,Zone C,Mackerel,Pollock,31.37
5.6,Winter,Zone A,Redfish,Cod,33.93
15.1,Spring,Zone B,Herring,Cod,31.16
12.0,Fall,Zone A,Sea Bass,Atlantic Salmon,33.59
16.9,Fall,Zone B,Atlantic Salmon,Halibut,32.95
21.1,Summer,Zone C,Haddock,Mackerel,31.97
12.7,Fall,Zone A,Sea Bass,Atlantic Salmon,33.26
18.3,Summer,Zone B,Mackerel,Haddock,32.37
20.1,Summer,Zone C,Mackerel,Haddock,32.67
10.8,Spring,Zone A,Flounder,Cod,31.95
13.7,Spring,Zone A,Herring,Cod,31.14
15.2,Spring,Zone B,Herring,Flounder,31.17
9.3,Winter,Zone A,Redfish,Cod,33.8
11.9,Spring,Zone A,Flounder,Cod,31.49
22.8,Summer,Zone C,Pollock,Haddock,31.91
21.5,Summer,Zone C,Haddock,Pollock,31.7
22.6,Summer,Zone C,Pollock,Haddock,32.33
12.8,Spring,Zone A,Herring,Cod,32.64
22.8,Summer,Zone C,Haddock,Mackerel,31.58
12.1,Fall,Zone A,Atlantic Salmon,Halibut,32.66
18.8,Fall,Zone B,Halibut,Sea Bass,33.02
12.7,Fall,Zone A,Sea Bass,Atlantic Salmon,32.58
6.4,Winter,Zone A,Cod,Smelt,33.66
17.5,Spring,Zone B,Flounder,Herring,30.84
20.9,Summer,Zone C,Pollock,Haddock,32.42
17.6,Fall,Zone B,Halibut,Sea Bass,32.28
12.9,Spring,Zone A,Flounder,Herring,32.1
17.2,Spring,Zone B,Herring,Cod,31.98
11.1,Spring,Zone A,Cod,Herring,32.99
20.0,Summer,Zone B,Mackerel,Pollock,32.54
15.6,Spring,Zone B,Cod,Herring,31.63
19.7,Fall,Zone B,Atlantic Salmon,Halibut,32.36
12.0,Fall,Zone A,Sea Bass,Halibut,32.47
9.2,Winter,Zone A,Smelt,Cod,33.46
8.7,Winter,Zone A,Smelt,Cod,33.17
21.1,Summer,Zone C,Pollock,Haddock,32.28
17.1,Fall,Zone B,Halibut,Sea Bass,33.05
24.5,Summer,Zone C,Haddock,Pollock,31.52
16.3,Fall,Zone B,Atlantic Salmon,Halibut,33.0
6.7,Winter,Zone A,Redfish,Cod,34.07
13.1,Fall,Zone A,Halibut,Sea Bass,32.54
24.3,Summer,Zone C,Haddock,Pollock,30.97
13.8,Spring,Zone A,Cod,Flounder,31.26
7.1,Winter,Zone A,Smelt,Cod,34.04
19.3,Fall,Zone B,Sea Bass,Atlantic Salmon,32.27
24.6,Summer,Zone C,Haddock,Pollock,31.52
4.4,Winter,Zone A,Cod,Redfish,33.28
18.0,Spring,Zone B,Flounder,Herring,31.77
12.6,Spring,Zone A,Herring,Flounder,31.89
16.0,Spring,Zone B,Flounder,Herring,31.33
4.7,Winter,Zone A,Redfish,Smelt,33.33
14.6,Fall,Zone A,Halibut,Sea Bass,32.32
14.7,Spring,Zone A,Cod,Flounder,31.05
12.7,Spring,Zone A,Herring,Cod,32.42
7.0,Winter,Zone A,Smelt,Redfish,33.24
15.7,Fall,Zone B,Atlantic Salmon,Halibut,33.07
16.8,Fall,Zone B,Halibut,Sea Bass,33.17
